Record id ,Division,Section ,PWI ,OHEMas,OHE Feature,EngFeature,Remark 1,Remark 2,Latitude,Longitude,Altitude,Validity,Speed,Satellites,ModifiedDate
210,ADI,SBT-ADI,,496/32 L2,X-OVER,"POINT 325,324",,,23.03615,72.60125,15.72768,,,9,03-01-2018 11:29
211,ADI,SBT-ADI,,496/31D L3,,,,,23.03596,72.60137,16.48968,,,8,03-01-2018 11:27
212,ADI,SBT-ADI,,496/32 L1,SM 170,,,,23.03616,72.60122,16.24584,,,8,03-01-2018 11:28
213,ADI,SBT-ADI,,496/31 L2,,,,,23.03594,72.60134,16.58112,,,9,03-01-2018 11:27
214,ADI,SBT-ADI,,496/29D L3,,,,,23.03553,72.60143,14.69136,,,10,03-01-2018 11:25
215,ADI,SBT-ADI,,496/29 L2,,,,,23.03553,72.60143,14.59992,,,8,03-01-2018 11:24
216,ADI,SBT-ADI,,496/28A L1,X-OVER,"POINT 304,305",,,23.03575,72.60132,16.002,,,9,03-01-2018 11:26
217,ADI,SBT-ADI,,496/28 L1,X-OVER,"POINT 302,301",,,23.03536,72.60139,16.48968,,,8,03-01-2018 11:24
218,ADI,SBT-ADI,,496/26 L1,X-OVER,"POINT 307,306",,,23.03488,72.60143,17.58696,,,9,03-01-2018 11:21
219,ADI,SBT-ADI,,496/27 L2,,,,,23.03507,72.60146,17.03832,,,7,03-01-2018 11:22
220,ADI,SBT-ADI,,496/27D L3,,,,,23.03691,72.60104,17.40408,,,8,03-01-2018 11:33
221,ADI,SBT-ADI,,496/25D L3,,,,,23.03662,72.60118,15.48384,,,9,03-01-2018 11:32
222,ADI,SBT-ADI,,496/25 L2,,,,,23.03458,72.6015,17.12976,,,6,03-01-2018 11:18
223,ADI,SBT-ADI,,496/23D L3,,,,,23.0363,72.60126,15.63624,,,8,03-01-2018 11:29
224,ADI,SBT-ADI,,496/21D L3,,,,,23.03522,72.60146,16.67256,,,8,03-01-2018 11:23
225,ADI,SBT-ADI,,496/21 L1,,,,,23.03448,72.60148,17.25168,,,8,03-01-2018 11:17
226,ADI,SBT-ADI,,496/20 L1,T-OUT,POINT 315,,,23.03406,72.60156,17.76984,,,10,03-01-2018 11:15
227,ADI,SBT-ADI,,496/19D L3,,,,,23.03478,72.60155,16.58112,,,9,03-01-2018 11:19
228,ADI,SBT-ADI,,496/19 L2,X-OVER,"POINT 319,318",,,23.03396,72.60154,16.88592,,,9,03-01-2018 11:13
229,ADI,SBT-ADI,,496/17D L3,,,,,23.03444,72.60157,17.95272,,,10,03-01-2018 11:16
230,ADI,SBT-ADI,,496/17D L3,,,,,23.03408,72.60161,19.59864,,,10,03-01-2018 11:14
231,ADI,SBT-ADI,,496/17 L2,X-OVER,"POINT 320,321",,,23.03375,72.6016,17.58696,,,6,03-01-2018 11:12
232,ADI,SBT-ADI,,496/16 L1,,,,,23.03372,72.60157,18.19656,,,10,03-01-2018 11:12
233,ADI,SBT-ADI,,496/15D L3,,,,,23.03362,72.60161,18.19656,,,9,03-01-2018 11:10
234,ADI,SBT-ADI,,496/15 L2,,,,,23.0336,72.60157,17.95272,,,9,03-01-2018 11:09
235,ADI,SBT-ADI,,496/15 L2,,,,,23.03345,72.60167,19.87296,,,9,03-01-2018 11:08
236,ADI,SBT-ADI,,496/14B L1,,,,,23.03341,72.6016,17.70888,,,7,03-01-2018 11:08
237,ADI,SBT-ADI,,496/13D L3,,,,,23.03344,72.60167,20.14728,,,8,03-01-2018 11:07
238,ADI,SBT-ADI,,496/13 L2,X-OVER,"ROB/ADI, 
POINT 336,335",,,23.03294,72.60163,22.06752,,,10,03-01-2018 11:04
239,ADI,SBT-ADI,,496/11D L3,,,,,23.03342,72.60163,20.29968,,,8,03-01-2018 11:05
240,ADI,SBT-ADI,,496/14  L1,X-OVER,"POINT 320,321",,,23.03299,72.60161,23.86584,,,8,03-01-2018 10:59
